Subject,Trial,Response,Condition,Hit,FA,Sex,CtryCode,Country,UniqSub,LaughFile,LangCode,EngFluency,MM,MM_Eng,Education,GenderSeg,CommScale,EconMode
208,22,1,0,0,1,1,1,Singapore,1208,L410-2,1,5,5,4,3,1,5,4
208,23,1,0,0,1,1,1,Singapore,1208,L413-1,1,5,5,4,3,1,5,4
208,24,1,0,0,1,1,1,Singapore,1208,L414-2,1,5,5,4,3,1,5,4
208,25,0,0,1,0,1,1,Singapore,1208,L422-2,1,5,5,4,3,1,5,4
208,26,1,0,0,1,1,1,Singapore,1208,L424-1,1,5,5,4,3,1,5,4
208,27,1,0,0,1,1,1,Singapore,1208,L428-1,1,5,5,4,3,1,5,4
208,28,1,0,0,1,1,1,Singapore,1208,L430-1,1,5,5,4,3,1,5,4
208,29,1,0,0,1,1,1,Singapore,1208,L431-1,1,5,5,4,3,1,5,4
208,30,0,0,1,0,1,1,Singapore,1208,L433-1,1,5,5,4,3,1,5,4
208,31,0,0,1,0,1,1,Singapore,1208,L435-1,1,5,5,4,3,1,5,4
208,32,0,0,1,0,1,1,Singapore,1208,L438-1,1,5,5,4,3,1,5,4
208,33,0,0,1,0,1,1,Singapore,1208,L440-1,1,5,5,4,3,1,5,4
208,34,1,0,0,1,1,1,Singapore,1208,L441-1,1,5,5,4,3,1,5,4
208,35,0,0,1,0,1,1,Singapore,1208,L500-1x,1,5,5,4,3,1,5,4
208,36,0,0,1,0,1,1,Singapore,1208,L502-1,1,5,5,4,3,1,5,4
209,1,0,1,0,0,1,1,Singapore,1209,C10 P2 17,1,5,5,4,3,1,5,4
209,2,1,1,1,0,1,1,Singapore,1209,C2 P1 3,1,5,5,4,3,1,5,4
209,3,1,1,1,0,1,1,Singapore,1209,C2 P2 6,1,5,5,4,3,1,5,4
